Sr.,Subject,Topic,Subtopic,Used,Used_At,Times_Shown,Last_Shown_At,Video_URL,Notes,Active
26827,Law,Civil Procedure,Framing of Issues,FALSE,,0,,,,TRUE
26828,Law,Civil Procedure,Evidence in Civil Trials,FALSE,,0,,,,TRUE
26829,Law,Civil Procedure,Judgment,FALSE,,0,,,,TRUE
26830,Law,Civil Procedure,Decree,FALSE,,0,,,,TRUE
26831,Law,Civil Procedure,Execution of Decrees,FALSE,,0,,,,TRUE
26832,Law,Civil Procedure,Appeals,FALSE,,0,,,,TRUE
26833,Law,Civil Procedure,Review,FALSE,,0,,,,TRUE
26834,Law,Civil Procedure,Revision,FALSE,,0,,,,TRUE
26835,Law,Civil Procedure,Res Judicata,FALSE,,0,,,,TRUE
26836,Law,Civil Procedure,Res Sub Judice,FALSE,,0,,,,TRUE
26837,Law,Civil Procedure,Limitation,FALSE,,0,,,,TRUE
26838,Law,Civil Procedure,Costs,FALSE,,0,,,,TRUE
26839,Law,Civil Procedure,Representative Suits,FALSE,,0,,,,TRUE
26840,Law,Civil Procedure,Indigent Persons,FALSE,,0,,,,TRUE
26841,Law,Civil Procedure,Inherent Powers of Court,FALSE,,0,,,,TRUE
26842,Law,Law of Torts,Nature and Scope of Tort Law,FALSE,,0,,,,TRUE
26843,Law,Law of Torts,Tort and Crime,FALSE,,0,,,,TRUE
26844,Law,Law of Torts,Tort and Contract,FALSE,,0,,,,TRUE
26845,Law,Law of Torts,General Principles of Tortious Liability,FALSE,,0,,,,TRUE
26846,Law,Law of Torts,Intentional Torts,FALSE,,0,,,,TRUE
26847,Law,Law of Torts,Negligence,FALSE,,0,,,,TRUE
26848,Law,Law of Torts,Strict Liability,FALSE,,0,,,,TRUE
26849,Law,Law of Torts,Vicarious Liability,FALSE,,0,,,,TRUE
26850,Law,Law of Torts,Nuisance,FALSE,,0,,,,TRUE
26851,Law,Law of Torts,Defamation,FALSE,,0,,,,TRUE
26852,Law,Law of Torts,Trespass to Person,FALSE,,0,,,,TRUE
26853,Law,Law of Torts,Trespass to Land,FALSE,,0,,,,TRUE
26854,Law,Law of Torts,Trespass to Goods,FALSE,,0,,,,TRUE
26855,Law,Law of Torts,Conversion,FALSE,,0,,,,TRUE
26856,Law,Law of Torts,Occupiers Liability,FALSE,,0,,,,TRUE
26857,Law,Law of Torts,Economic Torts,FALSE,,0,,,,TRUE
26858,Law,Law of Torts,Product Liability,FALSE,,0,,,,TRUE
26859,Law,Law of Torts,Defences in Tort,FALSE,,0,,,,TRUE
26860,Law,Law of Torts,Remoteness of Damage,FALSE,,0,,,,TRUE
26861,Law,Law of Torts,Damages in Tort,FALSE,,0,,,,TRUE
26862,Law,Law of Torts,Injunctions in Tort,FALSE,,0,,,,TRUE
26863,Law,Law of Torts,Joint Tortfeasors,FALSE,,0,,,,TRUE
26864,Law,Negligence,Duty of Care,FALSE,,0,,,,TRUE
26865,Law,Negligence,Breach of Duty,FALSE,,0,,,,TRUE
26866,Law,Negligence,Reasonable Person Standard,FALSE,,0,,,,TRUE
26867,Law,Negligence,Professional Negligence,FALSE,,0,,,,TRUE
26868,Law,Negligence,Medical Negligence,FALSE,,0,,,,TRUE
26869,Law,Negligence,Causation,FALSE,,0,,,,TRUE
26870,Law,Negligence,But-For Test,FALSE,,0,,,,TRUE
26871,Law,Negligence,Material Contribution,FALSE,,0,,,,TRUE
26872,Law,Negligence,Remoteness,FALSE,,0,,,,TRUE
26873,Law,Negligence,Foreseeability,FALSE,,0,,,,TRUE
26874,Law,Negligence,Res Ipsa Loquitur,FALSE,,0,,,,TRUE
26875,Law,Negligence,Contributory Negligence,FALSE,,0,,,,TRUE
26876,Law,Negligence,Comparative Negligence,FALSE,,0,,,,TRUE
26877,Law,Negligence,Voluntary Assumption of Risk,FALSE,,0,,,,TRUE
26878,Law,Negligence,Negligent Misstatement,FALSE,,0,,,,TRUE
26879,Law,Negligence,Pure Economic Loss,FALSE,,0,,,,TRUE
26880,Law,Negligence,Nervous Shock,FALSE,,0,,,,TRUE
26881,Law,Negligence,Occupiers Negligence,FALSE,,0,,,,TRUE
26882,Law,Negligence,Standard of Care for Children,FALSE,,0,,,,TRUE
26883,Law,Negligence,Damages for Negligence,FALSE,,0,,,,TRUE
26884,Law,Nuisance & Strict Liability,Private Nuisance,FALSE,,0,,,,TRUE
26885,Law,Nuisance & Strict Liability,Public Nuisance,FALSE,,0,,,,TRUE
26886,Law,Nuisance & Strict Liability,Unreasonable Interference,FALSE,,0,,,,TRUE
26887,Law,Nuisance & Strict Liability,Interference with Land,FALSE,,0,,,,TRUE
26888,Law,Nuisance & Strict Liability,Defences to Nuisance,FALSE,,0,,,,TRUE
26889,Law,Nuisance & Strict Liability,Remedies for Nuisance,FALSE,,0,,,,TRUE
26890,Law,Nuisance & Strict Liability,Strict Liability,FALSE,,0,,,,TRUE
26891,Law,Nuisance & Strict Liability,Rule in Rylands v Fletcher,FALSE,,0,,,,TRUE
26892,Law,Nuisance & Strict Liability,Non-Natural Use,FALSE,,0,,,,TRUE
26893,Law,Nuisance & Strict Liability,Escape Requirement,FALSE,,0,,,,TRUE
26894,Law,Nuisance & Strict Liability,Defences to Strict Liability,FALSE,,0,,,,TRUE
26895,Law,Nuisance & Strict Liability,Absolute Liability,FALSE,,0,,,,TRUE
26896,Law,Nuisance & Strict Liability,Hazardous Activities,FALSE,,0,,,,TRUE
26897,Law,Nuisance & Strict Liability,Environmental Nuisance,FALSE,,0,,,,TRUE
26898,Law,Nuisance & Strict Liability,Statutory Authority as Defence,FALSE,,0,,,,TRUE
26899,Law,Defamation & Privacy Torts,Defamation,FALSE,,0,,,,TRUE
26900,Law,Defamation & Privacy Torts,Libel,FALSE,,0,,,,TRUE
26901,Law,Defamation & Privacy Torts,Slander,FALSE,,0,,,,TRUE
26902,Law,Defamation & Privacy Torts,Defamatory Meaning,FALSE,,0,,,,TRUE
26903,Law,Defamation & Privacy Torts,Reference to Claimant,FALSE,,0,,,,TRUE
26904,Law,Defamation & Privacy Torts,Publication,FALSE,,0,,,,TRUE
26905,Law,Defamation & Privacy Torts,Truth as Defence,FALSE,,0,,,,TRUE
26906,Law,Defamation & Privacy Torts,Honest Opinion,FALSE,,0,,,,TRUE
26907,Law,Defamation & Privacy Torts,Privilege,FALSE,,0,,,,TRUE
26908,Law,Defamation & Privacy Torts,Qualified Privilege,FALSE,,0,,,,TRUE
26909,Law,Defamation & Privacy Torts,Absolute Privilege,FALSE,,0,,,,TRUE
26910,Law,Defamation & Privacy Torts,Malicious Falsehood,FALSE,,0,,,,TRUE
26911,Law,Defamation & Privacy Torts,Privacy Torts,FALSE,,0,,,,TRUE
26912,Law,Defamation & Privacy Torts,Misuse of Private Information,FALSE,,0,,,,TRUE
26913,Law,Defamation & Privacy Torts,Breach of Confidence,FALSE,,0,,,,TRUE
26914,Law,Defamation & Privacy Torts,Defamation and Free Speech,FALSE,,0,,,,TRUE
26915,Law,Defamation & Privacy Torts,Online Defamation,FALSE,,0,,,,TRUE
26916,Law,Defamation & Privacy Torts,Remedies for Defamation,FALSE,,0,,,,TRUE
26917,Law,Contract Law Fundamentals,Nature of Contract,FALSE,,0,,,,TRUE
26918,Law,Contract Law Fundamentals,Agreement and Contract,FALSE,,0,,,,TRUE
26919,Law,Contract Law Fundamentals,Offer,FALSE,,0,,,,TRUE
26920,Law,Contract Law Fundamentals,Invitation to Treat,FALSE,,0,,,,TRUE
26921,Law,Contract Law Fundamentals,Acceptance,FALSE,,0,,,,TRUE
26922,Law,Contract Law Fundamentals,Communication of Acceptance,FALSE,,0,,,,TRUE
26923,Law,Contract Law Fundamentals,Revocation,FALSE,,0,,,,TRUE
26924,Law,Contract Law Fundamentals,Consideration,FALSE,,0,,,,TRUE
26925,Law,Contract Law Fundamentals,Privity of Contract,FALSE,,0,,,,TRUE
26926,Law,Contract Law Fundamentals,Intention to Create Legal Relations,FALSE,,0,,,,TRUE
26927,Law,Contract Law Fundamentals,Capacity to Contract,FALSE,,0,,,,TRUE
26928,Law,Contract Law Fundamentals,Certainty of Terms,FALSE,,0,,,,TRUE
26929,Law,Contract Law Fundamentals,Free Consent,FALSE,,0,,,,TRUE
26930,Law,Contract Law Fundamentals,Lawful Object,FALSE,,0,,,,TRUE
26931,Law,Contract Law Fundamentals,Void Agreements,FALSE,,0,,,,TRUE
26932,Law,Contract Law Fundamentals,Voidable Contracts,FALSE,,0,,,,TRUE
26933,Law,Contract Law Fundamentals,Unenforceable Contracts,FALSE,,0,,,,TRUE
26934,Law,Contract Law Fundamentals,Contingent Contracts,FALSE,,0,,,,TRUE
26935,Law,Contract Law Fundamentals,Quasi-Contracts,FALSE,,0,,,,TRUE
26936,Law,Contract Law Fundamentals,Electronic Contracts,FALSE,,0,,,,TRUE
26937,Law,Contract Law Fundamentals,Standard Form Contracts,FALSE,,0,,,,TRUE
26938,Law,Contract Terms,Express Terms,FALSE,,0,,,,TRUE
26939,Law,Contract Terms,Implied Terms,FALSE,,0,,,,TRUE
26940,Law,Contract Terms,Conditions,FALSE,,0,,,,TRUE
26941,Law,Contract Terms,Warranties,FALSE,,0,,,,TRUE
26942,Law,Contract Terms,Innominate Terms,FALSE,,0,,,,TRUE
26943,Law,Contract Terms,Representations,FALSE,,0,,,,TRUE
26944,Law,Contract Terms,Incorporation of Terms,FALSE,,0,,,,TRUE
26945,Law,Contract Terms,Parol Evidence Rule,FALSE,,0,,,,TRUE
26946,Law,Contract Terms,Exclusion Clauses,FALSE,,0,,,,TRUE
26947,Law,Contract Terms,Limitation Clauses,FALSE,,0,,,,TRUE
26948,Law,Contract Terms,Unfair Contract Terms,FALSE,,0,,,,TRUE
26949,Law,Contract Terms,Interpretation of Contracts,FALSE,,0,,,,TRUE
26950,Law,Contract Terms,Entire Agreement Clauses,FALSE,,0,,,,TRUE
26951,Law,Contract Terms,Good Faith in Contracts,FALSE,,0,,,,TRUE
26952,Law,Contract Terms,Contractual Discretion,FALSE,,0,,,,TRUE
26953,Law,Vitiating Factors in Contract,Misrepresentation,FALSE,,0,,,,TRUE
26954,Law,Vitiating Factors in Contract,Fraudulent Misrepresentation,FALSE,,0,,,,TRUE
26955,Law,Vitiating Factors in Contract,Negligent Misrepresentation,FALSE,,0,,,,TRUE
26956,Law,Vitiating Factors in Contract,Innocent Misrepresentation,FALSE,,0,,,,TRUE
26957,Law,Vitiating Factors in Contract,Mistake,FALSE,,0,,,,TRUE
26958,Law,Vitiating Factors in Contract,Common Mistake,FALSE,,0,,,,TRUE
26959,Law,Vitiating Factors in Contract,Mutual Mistake,FALSE,,0,,,,TRUE
26960,Law,Vitiating Factors in Contract,Unilateral Mistake,FALSE,,0,,,,TRUE
26961,Law,Vitiating Factors in Contract,Duress,FALSE,,0,,,,TRUE
26962,Law,Vitiating Factors in Contract,Economic Duress,FALSE,,0,,,,TRUE
26963,Law,Vitiating Factors in Contract,Undue Influence,FALSE,,0,,,,TRUE
26964,Law,Vitiating Factors in Contract,Unconscionability,FALSE,,0,,,,TRUE
26965,Law,Vitiating Factors in Contract,Illegality,FALSE,,0,,,,TRUE
26966,Law,Vitiating Factors in Contract,Public Policy,FALSE,,0,,,,TRUE
26967,Law,Vitiating Factors in Contract,Restraint of Trade,FALSE,,0,,,,TRUE
26968,Law,Vitiating Factors in Contract,Fraud,FALSE,,0,,,,TRUE
26969,Law,Vitiating Factors in Contract,Coercion,FALSE,,0,,,,TRUE
26970,Law,Vitiating Factors in Contract,Undue Influence in Fiduciary Relationships,FALSE,,0,,,,TRUE
26971,Law,Discharge & Remedies in Contract,Performance,FALSE,,0,,,,TRUE
26972,Law,Discharge & Remedies in Contract,Tender of Performance,FALSE,,0,,,,TRUE
26973,Law,Discharge & Remedies in Contract,Agreement to Discharge,FALSE,,0,,,,TRUE
26974,Law,Discharge & Remedies in Contract,Novation,FALSE,,0,,,,TRUE
26975,Law,Discharge & Remedies in Contract,Rescission,FALSE,,0,,,,TRUE
26976,Law,Discharge & Remedies in Contract,Alteration,FALSE,,0,,,,TRUE
26977,Law,Discharge & Remedies in Contract,Breach of Contract,FALSE,,0,,,,TRUE
26978,Law,Discharge & Remedies in Contract,Anticipatory Breach,FALSE,,0,,,,TRUE
26979,Law,Discharge & Remedies in Contract,Frustration,FALSE,,0,,,,TRUE
26980,Law,Discharge & Remedies in Contract,Impossibility,FALSE,,0,,,,TRUE
26981,Law,Discharge & Remedies in Contract,Force Majeure,FALSE,,0,,,,TRUE
26982,Law,Discharge & Remedies in Contract,Termination,FALSE,,0,,,,TRUE
26983,Law,Discharge & Remedies in Contract,Damages,FALSE,,0,,,,TRUE
26984,Law,Discharge & Remedies in Contract,Expectation Damages,FALSE,,0,,,,TRUE
26985,Law,Discharge & Remedies in Contract,Reliance Damages,FALSE,,0,,,,TRUE
26986,Law,Discharge & Remedies in Contract,Liquidated Damages,FALSE,,0,,,,TRUE
26987,Law,Discharge & Remedies in Contract,Penalty Clauses,FALSE,,0,,,,TRUE
26988,Law,Discharge & Remedies in Contract,Specific Performance,FALSE,,0,,,,TRUE
26989,Law,Discharge & Remedies in Contract,Injunction,FALSE,,0,,,,TRUE
26990,Law,Discharge & Remedies in Contract,Restitution,FALSE,,0,,,,TRUE
26991,Law,Discharge & Remedies in Contract,Quantum Meruit,FALSE,,0,,,,TRUE
26992,Law,Discharge & Remedies in Contract,Mitigation of Loss,FALSE,,0,,,,TRUE
26993,Law,Discharge & Remedies in Contract,Remoteness in Contract,FALSE,,0,,,,TRUE
26994,Law,Discharge & Remedies in Contract,Causation in Contract,FALSE,,0,,,,TRUE
26995,Law,Agency Law,Creation of Agency,FALSE,,0,,,,TRUE
26996,Law,Agency Law,Express Authority,FALSE,,0,,,,TRUE
26997,Law,Agency Law,Implied Authority,FALSE,,0,,,,TRUE
26998,Law,Agency Law,Apparent Authority,FALSE,,0,,,,TRUE
26999,Law,Agency Law,Ratification,FALSE,,0,,,,TRUE
27000,Law,Agency Law,Agency by Necessity,FALSE,,0,,,,TRUE
27001,Law,Agency Law,Agent's Duties,FALSE,,0,,,,TRUE
27002,Law,Agency Law,Principal's Duties,FALSE,,0,,,,TRUE
27003,Law,Agency Law,Fiduciary Duties of Agent,FALSE,,0,,,,TRUE
27004,Law,Agency Law,Delegation by Agent,FALSE,,0,,,,TRUE
27005,Law,Agency Law,Sub-Agent,FALSE,,0,,,,TRUE
27006,Law,Agency Law,Liability of Principal,FALSE,,0,,,,TRUE
27007,Law,Agency Law,Liability of Agent,FALSE,,0,,,,TRUE
27008,Law,Agency Law,Undisclosed Principal,FALSE,,0,,,,TRUE
27009,Law,Agency Law,Termination of Agency,FALSE,,0,,,,TRUE
27010,Law,Agency Law,Commercial Agents,FALSE,,0,,,,TRUE
27011,Law,Agency Law,Agency and Third Parties,FALSE,,0,,,,TRUE
27012,Law,Agency Law,Power of Attorney,FALSE,,0,,,,TRUE
27013,Law,Sale of Goods Law,Contract of Sale,FALSE,,0,,,,TRUE
27014,Law,Sale of Goods Law,Sale and Agreement to Sell,FALSE,,0,,,,TRUE
27015,Law,Sale of Goods Law,Goods,FALSE,,0,,,,TRUE
27016,Law,Sale of Goods Law,Existing and Future Goods,FALSE,,0,,,,TRUE
27017,Law,Sale of Goods Law,Price,FALSE,,0,,,,TRUE
27018,Law,Sale of Goods Law,Conditions and Warranties,FALSE,,0,,,,TRUE
27019,Law,Sale of Goods Law,Implied Terms as to Title,FALSE,,0,,,,TRUE
27020,Law,Sale of Goods Law,Implied Terms as to Quality,FALSE,,0,,,,TRUE
27021,Law,Sale of Goods Law,Sale by Description,FALSE,,0,,,,TRUE
27022,Law,Sale of Goods Law,Sale by Sample,FALSE,,0,,,,TRUE
27023,Law,Sale of Goods Law,Caveat Emptor,FALSE,,0,,,,TRUE
27024,Law,Sale of Goods Law,Transfer of Property,FALSE,,0,,,,TRUE
27025,Law,Sale of Goods Law,Passing of Risk,FALSE,,0,,,,TRUE
27026,Law,Sale of Goods Law,Delivery,FALSE,,0,,,,TRUE
27027,Law,Sale of Goods Law,Acceptance of Goods,FALSE,,0,,,,TRUE
27028,Law,Sale of Goods Law,Unpaid Seller,FALSE,,0,,,,TRUE
27029,Law,Sale of Goods Law,Lien,FALSE,,0,,,,TRUE
27030,Law,Sale of Goods Law,Stoppage in Transit,FALSE,,0,,,,TRUE
27031,Law,Sale of Goods Law,Resale,FALSE,,0,,,,TRUE
27032,Law,Sale of Goods Law,Remedies of Buyer,FALSE,,0,,,,TRUE
27033,Law,Sale of Goods Law,Remedies of Seller,FALSE,,0,,,,TRUE
27034,Law,Sale of Goods Law,Consumer Sales,FALSE,,0,,,,TRUE
27035,Law,Partnership Law,Nature of Partnership,FALSE,,0,,,,TRUE
27036,Law,Partnership Law,Formation of Partnership,FALSE,,0,,,,TRUE
27037,Law,Partnership Law,Partnership Agreement,FALSE,,0,,,,TRUE
27038,Law,Partnership Law,Partners and Firm,FALSE,,0,,,,TRUE
27039,Law,Partnership Law,Mutual Agency,FALSE,,0,,,,TRUE
27040,Law,Partnership Law,Rights of Partners,FALSE,,0,,,,TRUE
27041,Law,Partnership Law,Duties of Partners,FALSE,,0,,,,TRUE
27042,Law,Partnership Law,Partnership Property,FALSE,,0,,,,TRUE
27043,Law,Partnership Law,Admission of Partner,FALSE,,0,,,,TRUE
27044,Law,Partnership Law,Retirement of Partner,FALSE,,0,,,,TRUE
27045,Law,Partnership Law,Expulsion of Partner,FALSE,,0,,,,TRUE
27046,Law,Partnership Law,Minor Admitted to Benefits,FALSE,,0,,,,TRUE
27047,Law,Partnership Law,Liability of Partners,FALSE,,0,,,,TRUE
27048,Law,Partnership Law,Holding Out,FALSE,,0,,,,TRUE
27049,Law,Partnership Law,Dissolution of Partnership,FALSE,,0,,,,TRUE
27050,Law,Partnership Law,Dissolution by Court,FALSE,,0,,,,TRUE
27051,Law,Partnership Law,Settlement of Accounts,FALSE,,0,,,,TRUE
27052,Law,Partnership Law,Registration of Firms,FALSE,,0,,,,TRUE
27053,Law,Company Law,Nature of Company,FALSE,,0,,,,TRUE
27054,Law,Company Law,Incorporation,FALSE,,0,,,,TRUE
27055,Law,Company Law,Separate Legal Personality,FALSE,,0,,,,TRUE
27056,Law,Company Law,Corporate Veil,FALSE,,0,,,,TRUE
27057,Law,Company Law,Lifting the Corporate Veil,FALSE,,0,,,,TRUE
27058,Law,Company Law,Types of Companies,FALSE,,0,,,,TRUE
27059,Law,Company Law,Memorandum of Association,FALSE,,0,,,,TRUE
27060,Law,Company Law,Articles of Association,FALSE,,0,,,,TRUE
27061,Law,Company Law,Promoters,FALSE,,0,,,,TRUE
27062,Law,Company Law,Share Capital,FALSE,,0,,,,TRUE
27063,Law,Company Law,Shares,FALSE,,0,,,,TRUE
27064,Law,Company Law,Debentures,FALSE,,0,,,,TRUE
27065,Law,Company Law,Members and Shareholders,FALSE,,0,,,,TRUE
27066,Law,Company Law,Directors,FALSE,,0,,,,TRUE
27067,Law,Company Law,Directors Duties,FALSE,,0,,,,TRUE
27068,Law,Company Law,Board of Directors,FALSE,,0,,,,TRUE
27069,Law,Company Law,Company Meetings,FALSE,,0,,,,TRUE
27070,Law,Company Law,Resolutions,FALSE,,0,,,,TRUE
27071,Law,Company Law,Corporate Records,FALSE,,0,,,,TRUE
27072,Law,Company Law,Accounts and Audit,FALSE,,0,,,,TRUE
27073,Law,Company Law,Dividends,FALSE,,0,,,,TRUE
27074,Law,Company Law,Minority Shareholder Protection,FALSE,,0,,,,TRUE
27075,Law,Company Law,Oppression and Mismanagement,FALSE,,0,,,,TRUE
27076,Law,Company Law,Mergers and Acquisitions,FALSE,,0,,,,TRUE
27077,Law,Company Law,Winding Up,FALSE,,0,,,,TRUE
27078,Law,Company Law,Insolvency of Companies,FALSE,,0,,,,TRUE
27079,Law,Corporate Governance,Principles of Corporate Governance,FALSE,,0,,,,TRUE
27080,Law,Corporate Governance,Board Independence,FALSE,,0,,,,TRUE
27081,Law,Corporate Governance,Executive and Non-Executive Directors,FALSE,,0,,,,TRUE
27082,Law,Corporate Governance,Audit Committees,FALSE,,0,,,,TRUE
27083,Law,Corporate Governance,Risk Committees,FALSE,,0,,,,TRUE
27084,Law,Corporate Governance,Nomination Committees,FALSE,,0,,,,TRUE
27085,Law,Corporate Governance,Remuneration Governance,FALSE,,0,,,,TRUE
27086,Law,Corporate Governance,Shareholder Rights,FALSE,,0,,,,TRUE
27087,Law,Corporate Governance,Stakeholder Governance,FALSE,,0,,,,TRUE
27088,Law,Corporate Governance,Disclosure and Transparency,FALSE,,0,,,,TRUE
27089,Law,Corporate Governance,Related-Party Transactions,FALSE,,0,,,,TRUE
27090,Law,Corporate Governance,Conflicts of Interest,FALSE,,0,,,,TRUE
27091,Law,Corporate Governance,Corporate Social Responsibility,FALSE,,0,,,,TRUE
27092,Law,Corporate Governance,ESG Governance,FALSE,,0,,,,TRUE
27093,Law,Corporate Governance,Whistleblowing,FALSE,,0,,,,TRUE
27094,Law,Corporate Governance,Internal Controls,FALSE,,0,,,,TRUE
27095,Law,Corporate Governance,Corporate Compliance,FALSE,,0,,,,TRUE
27096,Law,Corporate Governance,Fiduciary Duties,FALSE,,0,,,,TRUE
27097,Law,Corporate Governance,Business Judgment Rule,FALSE,,0,,,,TRUE
27098,Law,Securities & Capital Markets Law,Securities Regulation,FALSE,,0,,,,TRUE
27099,Law,Securities & Capital Markets Law,Primary Market,FALSE,,0,,,,TRUE
27100,Law,Securities & Capital Markets Law,Secondary Market,FALSE,,0,,,,TRUE
27101,Law,Securities & Capital Markets Law,Public Offerings,FALSE,,0,,,,TRUE
27102,Law,Securities & Capital Markets Law,Prospectus,FALSE,,0,,,,TRUE
27103,Law,Securities & Capital Markets Law,Disclosure Requirements,FALSE,,0,,,,TRUE
27104,Law,Securities & Capital Markets Law,Insider Trading,FALSE,,0,,,,TRUE
27105,Law,Securities & Capital Markets Law,Market Manipulation,FALSE,,0,,,,TRUE
27106,Law,Securities & Capital Markets Law,Stock Exchanges,FALSE,,0,,,,TRUE
27107,Law,Securities & Capital Markets Law,Broker Regulation,FALSE,,0,,,,TRUE
27108,Law,Securities & Capital Markets Law,Listed Companies,FALSE,,0,,,,TRUE
27109,Law,Securities & Capital Markets Law,Securities Intermediaries,FALSE,,0,,,,TRUE
27110,Law,Securities & Capital Markets Law,Collective Investment Schemes,FALSE,,0,,,,TRUE
27111,Law,Securities & Capital Markets Law,Mutual Funds,FALSE,,0,,,,TRUE
27112,Law,Securities & Capital Markets Law,Corporate Bonds,FALSE,,0,,,,TRUE
27113,Law,Securities & Capital Markets Law,Derivatives Regulation,FALSE,,0,,,,TRUE
27114,Law,Securities & Capital Markets Law,Investor Protection,FALSE,,0,,,,TRUE
27115,Law,Securities & Capital Markets Law,Takeover Regulation,FALSE,,0,,,,TRUE
27116,Law,Securities & Capital Markets Law,Capital Market Enforcement,FALSE,,0,,,,TRUE
27117,Law,Banking Law,Bank-Customer Relationship,FALSE,,0,,,,TRUE
27118,Law,Banking Law,Bank Accounts,FALSE,,0,,,,TRUE
27119,Law,Banking Law,Deposits,FALSE,,0,,,,TRUE
27120,Law,Banking Law,Loans and Advances,FALSE,,0,,,,TRUE
27121,Law,Banking Law,Security for Loans,FALSE,,0,,,,TRUE
27122,Law,Banking Law,Mortgages and Charges,FALSE,,0,,,,TRUE
27123,Law,Banking Law,Bank Guarantees,FALSE,,0,,,,TRUE
27124,Law,Banking Law,Letters of Credit,FALSE,,0,,,,TRUE
27125,Law,Banking Law,Payment Systems,FALSE,,0,,,,TRUE
27126,Law,Banking Law,Banker's Lien,FALSE,,0,,,,TRUE
27127,Law,Banking Law,Duty of Confidentiality,FALSE,,0,,,,TRUE
27128,Law,Banking Law,Know Your Customer,FALSE,,0,,,,TRUE
27129,Law,Banking Law,Anti-Money Laundering,FALSE,,0,,,,TRUE
27130,Law,Banking Law,Prudential Regulation,FALSE,,0,,,,TRUE
27131,Law,Banking Law,Central Banking Law,FALSE,,0,,,,TRUE
27132,Law,Banking Law,Bank Licensing,FALSE,,0,,,,TRUE
27133,Law,Banking Law,Bank Resolution,FALSE,,0,,,,TRUE
27134,Law,Banking Law,Islamic Banking Law,FALSE,,0,,,,TRUE
27135,Law,Banking Law,Digital Banking,FALSE,,0,,,,TRUE
27136,Law,Banking Law,Consumer Banking Protection,FALSE,,0,,,,TRUE
27137,Law,Insurance Law,Nature of Insurance,FALSE,,0,,,,TRUE
27138,Law,Insurance Law,Insurable Interest,FALSE,,0,,,,TRUE
27139,Law,Insurance Law,Utmost Good Faith,FALSE,,0,,,,TRUE
27140,Law,Insurance Law,Indemnity,FALSE,,0,,,,TRUE
27141,Law,Insurance Law,Subrogation,FALSE,,0,,,,TRUE
27142,Law,Insurance Law,Contribution,FALSE,,0,,,,TRUE
27143,Law,Insurance Law,Proximate Cause,FALSE,,0,,,,TRUE
27144,Law,Insurance Law,Life Insurance,FALSE,,0,,,,TRUE
27145,Law,Insurance Law,Fire Insurance,FALSE,,0,,,,TRUE
27146,Law,Insurance Law,Marine Insurance,FALSE,,0,,,,TRUE
27147,Law,Insurance Law,Motor Insurance,FALSE,,0,,,,TRUE
27148,Law,Insurance Law,Health Insurance,FALSE,,0,,,,TRUE
27149,Law,Insurance Law,Liability Insurance,FALSE,,0,,,,TRUE
27150,Law,Insurance Law,Reinsurance,FALSE,,0,,,,TRUE
27151,Law,Insurance Law,Insurance Policies,FALSE,,0,,,,TRUE
27152,Law,Insurance Law,Premiums,FALSE,,0,,,,TRUE
27153,Law,Insurance Law,Claims,FALSE,,0,,,,TRUE
27154,Law,Insurance Law,Non-Disclosure,FALSE,,0,,,,TRUE
27155,Law,Insurance Law,Misrepresentation in Insurance,FALSE,,0,,,,TRUE
27156,Law,Insurance Law,Insurance Regulation,FALSE,,0,,,,TRUE
27157,Law,Negotiable Instruments,Negotiable Instruments,FALSE,,0,,,,TRUE
27158,Law,Negotiable Instruments,Promissory Notes,FALSE,,0,,,,TRUE
27159,Law,Negotiable Instruments,Bills of Exchange,FALSE,,0,,,,TRUE
27160,Law,Negotiable Instruments,Cheques,FALSE,,0,,,,TRUE
27161,Law,Negotiable Instruments,Holder,FALSE,,0,,,,TRUE
27162,Law,Negotiable Instruments,Holder in Due Course,FALSE,,0,,,,TRUE
27163,Law,Negotiable Instruments,Negotiation,FALSE,,0,,,,TRUE
27164,Law,Negotiable Instruments,Endorsement,FALSE,,0,,,,TRUE
27165,Law,Negotiable Instruments,Crossing of Cheques,FALSE,,0,,,,TRUE
27166,Law,Negotiable Instruments,Presentment,FALSE,,0,,,,TRUE
27167,Law,Negotiable Instruments,Dishonour,FALSE,,0,,,,TRUE
27168,Law,Negotiable Instruments,Notice of Dishonour,FALSE,,0,,,,TRUE
27169,Law,Negotiable Instruments,Liability of Parties,FALSE,,0,,,,TRUE
27170,Law,Negotiable Instruments,Payment in Due Course,FALSE,,0,,,,TRUE
27171,Law,Negotiable Instruments,Banker and Customer,FALSE,,0,,,,TRUE
27172,Law,Negotiable Instruments,Electronic Payment Instruments,FALSE,,0,,,,TRUE
27173,Law,Competition Law,Purpose of Competition Law,FALSE,,0,,,,TRUE
27174,Law,Competition Law,Anti-Competitive Agreements,FALSE,,0,,,,TRUE
27175,Law,Competition Law,Cartels,FALSE,,0,,,,TRUE
27176,Law,Competition Law,Price Fixing,FALSE,,0,,,,TRUE
27177,Law,Competition Law,Market Sharing,FALSE,,0,,,,TRUE
27178,Law,Competition Law,Bid Rigging,FALSE,,0,,,,TRUE
27179,Law,Competition Law,Abuse of Dominance,FALSE,,0,,,,TRUE
27180,Law,Competition Law,Predatory Pricing,FALSE,,0,,,,TRUE
27181,Law,Competition Law,Refusal to Deal,FALSE,,0,,,,TRUE
